{epoch: 1605184459155, value: {voltage : 3889, charge : 65}}
{epoch: 1605184461887, value: {x : 0.036, y : -0.076, z : 0.964}}
{epoch: 1605184461898, value: {x : 0.055, y : -0.081, z : 0.958}}
{epoch: 1605184461906, value: {x : 0.050, y : -0.042, z : 0.959}}
{epoch: 1605184461917, value: {x : -0.029, y : 0.055, z : 0.958}}
{epoch: 1605184461927, value: {x : 0.016, y : -0.045, z : 0.971}}
{epoch: 1605184461937, value: {x : 0.039, y : -0.062, z : 0.963}}
{epoch: 1605184461946, value: {x : 0.019, y : -0.034, z : 0.963}}
{epoch: 1605184461956, value: {x : 0.025, y : -0.104, z : 0.955}}
{epoch: 1605184461966, value: {x : -0.007, y : -0.056, z : 0.961}}
{epoch: 1605184461975, value: {x : 0.008, y : -0.059, z : 0.965}}
{epoch: 1605184461985, value: {x : 0.009, y : -0.048, z : 0.989}}
{epoch: 1605184461996, value: {x : 0.186, y : -0.018, z : 1.041}}
{epoch: 1605184462006, value: {x : -0.074, y : -0.007, z : 0.940}}
{epoch: 1605184462015, value: {x : -0.123, y : -0.179, z : 0.975}}
{epoch: 1605184462025, value: {x : 0.005, y : -0.254, z : 0.927}}
{epoch: 1605184462035, value: {x : -0.004, y : -0.139, z : 0.954}}
{epoch: 1605184462045, value: {x : -0.012, y : -0.033, z : 0.909}}
{epoch: 1605184462054, value: {x : -0.044, y : -0.171, z : 0.916}}
{epoch: 1605184462065, value: {x : -0.049, y : -0.073, z : 0.975}}
{epoch: 1605184462075, value: {x : 0.102, y : 0.256, z : 1.095}}
{epoch: 1605184462085, value: {x : 0.139, y : 0.148, z : 1.093}}
{epoch: 1605184462094, value: {x : 0.042, y : -0.124, z : 1.150}}
{epoch: 1605184462104, value: {x : 0.048, y : -0.274, z : 1.275}}
{epoch: 1605184462114, value: {x : 0.285, y : -0.441, z : 1.614}}
{epoch: 1605184462125, value: {x : -0.325, y : -0.477, z : 2.000}}
{epoch: 1605184462133, value: {x : 0.094, y : 0.418, z : 1.866}}
{epoch: 1605184462144, value: {x : 0.256, y : 0.042, z : 1.803}}
{epoch: 1605184462154, value: {x : 0.489, y : -0.109, z : 1.517}}
{epoch: 1605184462155, value: {voltage : 3889, charge : 65}}
{epoch: 1605184462164, value: {x : 0.445, y : -0.143, z : 1.203}}
{epoch: 1605184462173, value: {x : 0.237, y : -0.235, z : 1.182}}
{epoch: 1605184462183, value: {x : 0.046, y : -0.198, z : 1.234}}
{epoch: 1605184462193, value: {x : -0.026, y : -0.154, z : 1.266}}
{epoch: 1605184462202, value: {x : -0.037, y : -0.127, z : 1.334}}
{epoch: 1605184462212, value: {x : -0.130, y : -0.041, z : 1.288}}
{epoch: 1605184462223, value: {x : -0.044, y : -0.109, z : 1.338}}
{epoch: 1605184462233, value: {x : -0.153, y : -0.135, z : 1.412}}
{epoch: 1605184462242, value: {x : -0.203, y : -0.135, z : 1.436}}
{epoch: 1605184462252, value: {x : -0.140, y : -0.220, z : 1.384}}
{epoch: 1605184462262, value: {x : -0.182, y : -0.252, z : 1.281}}
{epoch: 1605184462273, value: {x : -0.188, y : -0.350, z : 1.241}}
{epoch: 1605184462281, value: {x : -0.169, y : -0.441, z : 1.228}}
{epoch: 1605184462292, value: {x : -0.150, y : -0.421, z : 1.233}}
{epoch: 1605184462302, value: {x : -0.111, y : -0.402, z : 1.215}}
{epoch: 1605184462312, value: {x : -0.139, y : -0.374, z : 1.239}}
{epoch: 1605184462321, value: {x : -0.177, y : -0.511, z : 1.402}}
{epoch: 1605184462331, value: {x : -0.203, y : -0.615, z : 1.472}}
{epoch: 1605184462341, value: {x : -0.190, y : -0.539, z : 1.431}}
{epoch: 1605184462352, value: {x : -0.221, y : -0.311, z : 1.329}}
{epoch: 1605184462360, value: {x : -0.169, y : -0.098, z : 1.251}}
{epoch: 1605184462371, value: {x : -0.180, y : 0.109, z : 1.144}}
{epoch: 1605184462381, value: {x : -0.148, y : 0.322, z : 0.981}}
{epoch: 1605184462391, value: {x : -0.071, y : 0.376, z : 0.843}}
{epoch: 1605184462400, value: {x : -0.123, y : 0.294, z : 0.883}}
{epoch: 1605184462410, value: {x : -0.220, y : 0.127, z : 1.039}}
{epoch: 1605184462420, value: {x : -0.170, y : 0.019, z : 1.094}}
{epoch: 1605184462431, value: {x : -0.169, y : -0.031, z : 1.023}}
{epoch: 1605184462440, value: {x : -0.202, y : -0.069, z : 0.979}}
{epoch: 1605184462450, value: {x : -0.232, y : -0.078, z : 0.970}}
{epoch: 1605184462460, value: {x : -0.233, y : -0.091, z : 0.880}}
{epoch: 1605184462469, value: {x : -0.190, y : -0.177, z : 0.807}}
{epoch: 1605184462479, value: {x : -0.150, y : -0.174, z : 0.762}}
{epoch: 1605184462489, value: {x : -0.215, y : -0.114, z : 0.781}}
{epoch: 1605184462500, value: {x : -0.284, y : -0.047, z : 0.870}}
{epoch: 1605184462508, value: {x : -0.286, y : -0.029, z : 0.861}}
{epoch: 1605184462519, value: {x : -0.241, y : -0.025, z : 0.821}}
